rank,accession,gene,name,length,mean_plddt,structure_quality,druggable_pockets,allosteric_sites,human_identity_pct,human_risk,rnai_evidence,rnai_paper_count,final_score,alphafold_url,top_score_reasons
1,A0A649X9W4,COI,Cytochrome c oxidase subunit 1,196,97.14,EXCELLENT,2,1,78.6,MEDIUM,True,1,23,https://alphafold.ebi.ac.uk/entry/A0A649X9W4,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
28,B7SP34,,,174,89.56,GOOD,1,0,33.8,LOW,False,0,16,https://alphafold.ebi.ac.uk/entry/B7SP34,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
29,B7SP56,,,155,88.1,GOOD,1,0,25.9,LOW,False,0,16,https://alphafold.ebi.ac.uk/entry/B7SP56,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
30,B7SP64,,,169,84.61,GOOD,1,0,25.9,LOW,False,0,16,https://alphafold.ebi.ac.uk/entry/B7SP64,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
31,Q86G65,,,273,79.63,USABLE,1,0,61.7,MEDIUM,False,0,15,https://alphafold.ebi.ac.uk/entry/Q86G65,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
32,A0A2U8U3F3,,Cytochrome c oxidase subunit 1,230,97.34,EXCELLENT,1,0,81.1,HIGH,True,1,15,https://alphafold.ebi.ac.uk/entry/A0A2U8U3F3,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
33,A0A2U8U3G0,,Cytochrome c oxidase subunit 1,230,97.36,EXCELLENT,1,0,81.3,HIGH,True,1,15,https://alphafold.ebi.ac.uk/entry/A0A2U8U3G0,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
34,A0A023NLG8,ARPC3,Actin-related protein 2/3 complex subunit 3,181,92.91,EXCELLENT,1,0,66.3,MEDIUM,False,0,15,https://alphafold.ebi.ac.uk/entry/A0A023NLG8,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
35,B7SP48,,,377,70.53,USABLE,1,0,32.7,LOW,False,0,15,https://alphafold.ebi.ac.uk/entry/B7SP48,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
36,Q06EX9,,,293,90.11,GOOD,1,0,42.3,MEDIUM,False,0,15,https://alphafold.ebi.ac.uk/entry/Q06EX9,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
37,Q8I862,,,374,77.34,USABLE,1,0,37.3,LOW,False,0,15,https://alphafold.ebi.ac.uk/entry/Q8I862,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
38,Q6XR73,,Carboxylic ester hydrolase,596,86.31,GOOD,2,1,44.9,MEDIUM,False,0,15,https://alphafold.ebi.ac.uk/entry/Q6XR73,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
39,Q8T9S5,,,435,88.46,GOOD,2,1,87.2,HIGH,False,0,14,https://alphafold.ebi.ac.uk/entry/Q8T9S5,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
40,Q8T9S3,,Translationally-controlled tumor protein homolog,173,81.91,GOOD,1,0,41.5,MEDIUM,False,0,14,https://alphafold.ebi.ac.uk/entry/Q8T9S3,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
41,A0A023NLX9,ARPC2,Arp2/3 complex 34 kDa subunit,300,93.6,EXCELLENT,1,0,78.9,MEDIUM,False,0,13,https://alphafold.ebi.ac.uk/entry/A0A023NLX9,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
42,A4UTU3,,,376,93.69,EXCELLENT,1,0,98.7,HIGH,False,0,10,https://alphafold.ebi.ac.uk/entry/A4UTU3,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
43,A0A023NL51,ARPC4,Actin-related protein 2/3 complex subunit 4,168,94.51,EXCELLENT,1,0,88.1,HIGH,False,0,8,https://alphafold.ebi.ac.uk/entry/A0A023NL51,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
