accession	species	name	gene	apis_mellifera_identity	apis_mellifera_ortholog_absent	bombus_terrestris_identity	bombus_terrestris_ortholog_absent	varroa_destructor_identity	varroa_destructor_ortholog_absent	metaseiulus_occidentalis_identity	metaseiulus_occidentalis_ortholog_absent	tetranychus_urticae_identity	tetranychus_urticae_ortholog_absent	daphnia_magna_identity	daphnia_magna_ortholog_absent	folsomia_candida_identity	folsomia_candida_ortholog_absent	drosophila_melanogaster_identity	drosophila_melanogaster_ortholog_absent	limulus_polyphemus_identity	limulus_polyphemus_ortholog_absent	homo_sapiens_identity	homo_sapiens_ortholog_absent	canis_lupus_familiaris_identity	canis_lupus_familiaris_ortholog_absent	felis_catus_identity	felis_catus_ortholog_absent	mus_musculus_identity	mus_musculus_ortholog_absent	min_divergence	min_divergence_species	verdict	arthropod_verdict	arthropod_min_divergence	arthropod_worst_species	mammal_verdict	mammal_min_divergence	mammal_worst_species	scope
B7SP57	dermacentor_variabilis			0.45	False	0.3779	False	0.3738	False	0.3598	False	0.4345	False	0.3925	False	0.3554	False	0.4088	False	0.4312	False	0.3198	False	0.3468	False	0.3932	False	0.3081	False	0.55	apis_mellifera	MARGINAL	MARGINAL	0.55	apis_mellifera	SELECTIVE	0.6068	felis_catus	RESIDENTIAL_ONLY
B7QAF3	ixodes_scapularis			0.4066	False	0.4066	False	0.4167	False	0.4565	False	0.3636	False	0.3736	False	0.3333	False	0.3218	False	0.3889	False	0.3846	False	0.3736	False	0.3736	False	0.3846	False	0.5435	metaseiulus_occidentalis	MARGINAL	MARGINAL	0.5435	metaseiulus_occidentalis	SELECTIVE	0.6154	homo_sapiens	RESIDENTIAL_ONLY
B7SP41	dermacentor_variabilis			0.0	True	0.0	True	0.0	True	0.4495	False	0.3636	False	0.4586	False	0.392	False	0.0	True	0.4523	False	0.3834	False	0.3523	False	0.3876	False	0.399	False	0.5414	daphnia_magna	MARGINAL	MARGINAL	0.5414	daphnia_magna	SELECTIVE	0.601	mus_musculus	RESIDENTIAL_ONLY
A0AAQ4DX98	amblyomma_americanum	Peptidylglycine alpha-amidating monooxygenase		0.3463	False	0.3979	False	0.3668	False	0.3556	False	0.4693	False	0.43	False	0.4331	False	0.4431	False	0.4238	False	0.4174	False	0.3952	False	0.4286	False	0.3898	False	0.5307	tetranychus_urticae	MARGINAL	MARGINAL	0.5307	tetranychus_urticae	MARGINAL	0.5714	felis_catus	NEITHER
A0AAQ4FA75	amblyomma_americanum	Acylglycerol kinase, mitochondrial		0.3474	False	0.3432	False	0.47	False	0.3287	False	0.3333	False	0.4428	False	0.3929	False	0.3293	False	0.4122	False	0.3913	False	0.3607	False	0.4688	False	0.3992	False	0.53	varroa_destructor	MARGINAL	MARGINAL	0.53	varroa_destructor	MARGINAL	0.5312	felis_catus	NEITHER
B7P5E9	ixodes_scapularis			0.4563	False	0.4643	False	0.4118	False	0.4014	False	0.3864	False	0.4656	False	0.4728	False	0.4286	False	0.4316	False	0.4179	False	0.4232	False	0.4286	False	0.4043	False	0.5272	folsomia_candida	MARGINAL	MARGINAL	0.5272	folsomia_candida	MARGINAL	0.5714	felis_catus	NEITHER
A0AAQ4FI23	amblyomma_americanum	Flavin-containing monooxygenase		0.3641	False	0.3594	False	0.428	False	0.416	False	0.3825	False	0.3074	False	0.2762	False	0.3868	False	0.4739	False	0.3857	False	0.3832	False	0.3913	False	0.382	False	0.5261	limulus_polyphemus	MARGINAL	MARGINAL	0.5261	limulus_polyphemus	SELECTIVE	0.6087	felis_catus	RESIDENTIAL_ONLY
A0AAQ4FJ88	amblyomma_americanum	Flavin-containing monooxygenase		0.3318	False	0.3364	False	0.3996	False	0.3908	False	0.3855	False	0.3208	False	0.3465	False	0.3585	False	0.4831	False	0.3835	False	0.3908	False	0.3892	False	0.3925	False	0.5169	limulus_polyphemus	MARGINAL	MARGINAL	0.5169	limulus_polyphemus	SELECTIVE	0.6075	mus_musculus	RESIDENTIAL_ONLY
Q8T9S4	dermacentor_variabilis	Tetraspanin		0.359	False	0.366	False	0.3684	False	0.3843	False	0.3333	False	0.3661	False	0.3447	False	0.3766	False	0.4851	False	0.3484	False	0.3631	False	0.3347	False	0.332	False	0.5149	limulus_polyphemus	MARGINAL	MARGINAL	0.5149	limulus_polyphemus	SELECTIVE	0.6369	canis_lupus_familiaris	RESIDENTIAL_ONLY
A0AAQ4DMB8	amblyomma_americanum	Ketimine reductase mu-crystallin		0.0	True	0.0	True	0.0	True	0.0	True	0.0	True	0.4729	False	0.0	True	0.3167	False	0.4854	False	0.4756	False	0.4665	False	0.4739	False	0.4787	False	0.5146	limulus_polyphemus	MARGINAL	MARGINAL	0.5146	limulus_polyphemus	MARGINAL	0.5213	mus_musculus	NEITHER
A0AAQ4E7F9	amblyomma_americanum	Peptidase M20 dimerisation domain-containing protein		0.2377	False	0.2415	False	0.4156	False	0.404	False	0.4215	False	0.3873	False	0.3554	False	0.2757	False	0.4909	False	0.3956	False	0.4218	False	0.4189	False	0.4069	False	0.5091	limulus_polyphemus	MARGINAL	MARGINAL	0.5091	limulus_polyphemus	MARGINAL	0.5782	canis_lupus_familiaris	NEITHER
A0AAQ4E5F2	amblyomma_americanum	NAD(P)H oxidase (H2O2-forming)		0.4049	False	0.4069	False	0.4055	False	0.4079	False	0.489	False	0.4042	False	0.4934	False	0.4093	False	0.4324	False	0.4505	False	0.4736	False	0.4671	False	0.4521	False	0.5066	folsomia_candida	MARGINAL	MARGINAL	0.5066	folsomia_candida	MARGINAL	0.5264	canis_lupus_familiaris	NEITHER
A0AAQ4E0I8	amblyomma_americanum	Histone deacetylase		0.3936	False	0.4306	False	0.3915	False	0.3984	False	0.4034	False	0.4946	False	0.4569	False	0.3887	False	0.4426	False	0.4601	False	0.4635	False	0.4635	False	0.4546	False	0.5054	daphnia_magna	MARGINAL	MARGINAL	0.5054	daphnia_magna	MARGINAL	0.5365	canis_lupus_familiaris	NEITHER
A0AAQ4DEL6	amblyomma_americanum	non-specific serine/threonine protein kinase		0.3346	False	0.337	False	0.3434	False	0.3333	False	0.459	False	0.4823	False	0.3395	False	0.4437	False	0.4905	False	0.425	False	0.4339	False	0.498	False	0.4171	False	0.502	felis_catus	MARGINAL	MARGINAL	0.5095	limulus_polyphemus	MARGINAL	0.502	felis_catus	NEITHER
A0AAQ4FH64	amblyomma_americanum	Flavin-containing monooxygenase		0.3578	False	0.3578	False	0.4315	False	0.4079	False	0.3686	False	0.3348	False	0.2981	False	0.279	False	0.5	False	0.3835	False	0.3944	False	0.3922	False	0.3883	False	0.5	limulus_polyphemus	MARGINAL	MARGINAL	0.5	limulus_polyphemus	SELECTIVE	0.6056	canis_lupus_familiaris	RESIDENTIAL_ONLY
Q6XR73	dermacentor_variabilis	Carboxylic ester hydrolase		0.464	False	0.4797	False	0.4861	False	0.4814	False	0.4332	False	0.4359	False	0.4584	False	0.3196	False	0.5114	False	0.4491	False	0.4424	False	0.444	False	0.4381	False	0.4886	limulus_polyphemus	MARGINAL	MARGINAL	0.4886	limulus_polyphemus	MARGINAL	0.5509	homo_sapiens	NEITHER
A0A4D5RMV5	ixodes_scapularis			0.4556	False	0.4667	False	0.4391	False	0.4529	False	0.3658	False	0.4486	False	0.412	False	0.4504	False	0.5119	False	0.4414	False	0.4222	False	0.4587	False	0.4259	False	0.4881	limulus_polyphemus	MARGINAL	MARGINAL	0.4881	limulus_polyphemus	MARGINAL	0.5413	felis_catus	NEITHER
A0AAQ4D9T1	amblyomma_americanum	Hormone-sensitive lipase		0.3246	False	0.3306	False	0.3531	False	0.3437	False	0.3485	False	0.5185	False	0.3933	False	0.4381	False	0.3805	False	0.3434	False	0.3294	False	0.3399	False	0.3293	False	0.4815	daphnia_magna	MARGINAL	MARGINAL	0.4815	daphnia_magna	SELECTIVE	0.6566	homo_sapiens	RESIDENTIAL_ONLY
B7PBI5	ixodes_scapularis	B7PBI5		0.4482	False	0.4367	False	0.4811	False	0.4641	False	0.4437	False	0.4712	False	0.449	False	0.4371	False	0.5181	False	0.5201	False	0.5133	False	0.5203	False	0.5066	False	0.4797	felis_catus	MARGINAL	MARGINAL	0.4819	limulus_polyphemus	MARGINAL	0.4797	felis_catus	NEITHER
A0AAQ4DJ97	amblyomma_americanum	Flavin-containing monooxygenase		0.3094	False	0.3448	False	0.5019	False	0.4802	False	0.506	False	0.3592	False	0.3077	False	0.3578	False	0.521	False	0.4524	False	0.4544	False	0.4603	False	0.4756	False	0.479	limulus_polyphemus	MARGINAL	MARGINAL	0.479	limulus_polyphemus	MARGINAL	0.5244	mus_musculus	NEITHER
A0A0C9SDB6	amblyomma_americanum			0.4222	False	0.5	False	0.4204	False	0.4557	False	0.3393	False	0.406	False	0.4105	False	0.5217	False	0.5174	False	0.4156	False	0.4192	False	0.4167	False	0.4248	False	0.4783	drosophila_melanogaster	MARGINAL	MARGINAL	0.4783	drosophila_melanogaster	MARGINAL	0.5752	mus_musculus	NEITHER
Q06EX9	dermacentor_variabilis			0.3045	False	0.3	False	0.35	False	0.3657	False	0.4652	False	0.4642	False	0.3412	False	0.2982	False	0.5253	False	0.422	False	0.4148	False	0.4229	False	0.4229	False	0.4747	limulus_polyphemus	MARGINAL	MARGINAL	0.4747	limulus_polyphemus	MARGINAL	0.5771	felis_catus	NEITHER
A0A4D5RGQ5	ixodes_scapularis	Metallophosphoesterase 1 homolog		0.457	False	0.4624	False	0.4693	False	0.4751	False	0.3722	False	0.4589	False	0.4424	False	0.4507	False	0.5445	False	0.4638	False	0.4501	False	0.495	False	0.4463	False	0.4555	limulus_polyphemus	MARGINAL	MARGINAL	0.4555	limulus_polyphemus	MARGINAL	0.505	felis_catus	NEITHER
A0AAQ4D4Y2	amblyomma_americanum	Flavin-containing monooxygenase		0.2826	False	0.3033	False	0.5467	False	0.5433	False	0.4866	False	0.0	True	0.2696	False	0.3077	False	0.5101	False	0.4588	False	0.495	False	0.4867	False	0.4647	False	0.4533	varroa_destructor	MARGINAL	MARGINAL	0.4533	varroa_destructor	MARGINAL	0.505	canis_lupus_familiaris	NEITHER
Q86G71	dermacentor_variabilis			0.4706	False	0.4036	False	0.4383	False	0.4214	False	0.4485	False	0.463	False	0.3851	False	0.4654	False	0.5545	False	0.3333	False	0.345	False	0.4	False	0.3216	False	0.4455	limulus_polyphemus	MARGINAL	MARGINAL	0.4455	limulus_polyphemus	MARGINAL	0.6	felis_catus	NEITHER
A0AAQ4DPM5	amblyomma_americanum	Histone deacetylase 8		0.4415	False	0.4415	False	0.4474	False	0.4549	False	0.4453	False	0.5556	False	0.5099	False	0.4377	False	0.5099	False	0.5094	False	0.5154	False	0.5154	False	0.5056	False	0.4444	daphnia_magna	MARGINAL	MARGINAL	0.4444	daphnia_magna	MARGINAL	0.4846	canis_lupus_familiaris	NEITHER
C6G1Y6	dermacentor_variabilis	Aminopeptidase N		0.436	False	0.4502	False	0.3061	False	0.2857	False	0.4512	False	0.557	False	0.3541	False	0.4286	False	0.5526	False	0.362	False	0.3794	False	0.3649	False	0.3667	False	0.443	daphnia_magna	MARGINAL	MARGINAL	0.443	daphnia_magna	SELECTIVE	0.6206	canis_lupus_familiaris	RESIDENTIAL_ONLY
A0AAQ4DAP1	amblyomma_americanum	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase		0.5537	False	0.5593	False	0.4392	False	0.451	False	0.3782	False	0.421	False	0.3708	False	0.4954	False	0.4411	False	0.4048	False	0.4037	False	0.409	False	0.3842	False	0.4407	bombus_terrestris	MARGINAL	MARGINAL	0.4407	bombus_terrestris	MARGINAL	0.591	felis_catus	NEITHER
A0A0C9SEC4	amblyomma_americanum	Serine/threonine-protein phosphatase PGAM5, mitochondrial		0.4667	False	0.4615	False	0.5161	False	0.5045	False	0.4974	False	0.5754	False	0.478	False	0.4425	False	0.5211	False	0.5	False	0.5112	False	0.5281	False	0.5027	False	0.4246	daphnia_magna	MARGINAL	MARGINAL	0.4246	daphnia_magna	MARGINAL	0.4719	felis_catus	NEITHER
B7PY76	ixodes_scapularis	B7PY76		0.4881	False	0.5047	False	0.4792	False	0.5023	False	0.4031	False	0.5062	False	0.4091	False	0.4822	False	0.5792	False	0.4714	False	0.4762	False	0.4813	False	0.4691	False	0.4208	limulus_polyphemus	MARGINAL	MARGINAL	0.4208	limulus_polyphemus	MARGINAL	0.5187	felis_catus	NEITHER
A0AAQ4DBL8	amblyomma_americanum	RB1-inducible coiled-coil protein 1		0.4546	False	0.4649	False	0.4775	False	0.3849	False	0.4608	False	0.4551	False	0.339	False	0.4471	False	0.5854	False	0.5248	False	0.5408	False	0.5248	False	0.4729	False	0.4146	limulus_polyphemus	MARGINAL	MARGINAL	0.4146	limulus_polyphemus	MARGINAL	0.4592	canis_lupus_familiaris	NEITHER
A0AAQ4F1X8	amblyomma_americanum	Flavin-containing monooxygenase		0.3504	False	0.3591	False	0.4791	False	0.4478	False	0.5084	False	0.3211	False	0.3122	False	0.3194	False	0.5905	False	0.4607	False	0.4644	False	0.4513	False	0.461	False	0.4095	limulus_polyphemus	MARGINAL	MARGINAL	0.4095	limulus_polyphemus	MARGINAL	0.5356	canis_lupus_familiaris	NEITHER
A0A0C9R308	amblyomma_americanum	CAAX prenyl protease		0.4354	False	0.4524	False	0.5138	False	0.4535	False	0.5111	False	0.5352	False	0.4524	False	0.4763	False	0.5529	False	0.5446	False	0.5678	False	0.5921	False	0.5493	False	0.4079	felis_catus	MARGINAL	MARGINAL	0.4471	limulus_polyphemus	MARGINAL	0.4079	felis_catus	NEITHER
A0AAQ4DND5	amblyomma_americanum	Poly [ADP-ribose] polymerase		0.4766	False	0.4746	False	0.502	False	0.5079	False	0.4432	False	0.6105	False	0.4359	False	0.4576	False	0.5544	False	0.4819	False	0.4727	False	0.4769	False	0.4713	False	0.3895	daphnia_magna	RISKY	RISKY	0.3895	daphnia_magna	MARGINAL	0.5181	homo_sapiens	NEITHER
A0A0C9R6Q9	amblyomma_americanum	Proton-coupled zinc antiporter SLC30A5		0.4903	False	0.5058	False	0.4787	False	0.5309	False	0.5891	False	0.5692	False	0.5506	False	0.4618	False	0.5454	False	0.6117	False	0.6117	False	0.6081	False	0.6162	False	0.3838	mus_musculus	RISKY	MARGINAL	0.4109	tetranychus_urticae	RISKY	0.3838	mus_musculus	NEITHER
A0AAQ4E147	amblyomma_americanum	SUMO-activating enzyme subunit		0.5362	False	0.5024	False	0.5791	False	0.5675	False	0.6079	False	0.5911	False	0.5251	False	0.5138	False	0.6189	False	0.5488	False	0.5815	False	0.5472	False	0.5624	False	0.3811	limulus_polyphemus	RISKY	RISKY	0.3811	limulus_polyphemus	MARGINAL	0.4185	canis_lupus_familiaris	NEITHER
A0AAQ4FR19	amblyomma_americanum	Lysosomal dipeptide transporter MFSD1		0.5221	False	0.5221	False	0.5382	False	0.554	False	0.4907	False	0.5806	False	0.5538	False	0.5506	False	0.5975	False	0.5649	False	0.6056	False	0.6194	False	0.5608	False	0.3806	felis_catus	RISKY	MARGINAL	0.4025	limulus_polyphemus	RISKY	0.3806	felis_catus	NEITHER
A0A4D5RNJ0	ixodes_scapularis	Oligomycin sensitivity conferral protein		0.5025	False	0.5532	False	0.62	False	0.5817	False	0.3926	False	0.5024	False	0.4926	False	0.5738	False	0.5868	False	0.4772	False	0.4677	False	0.4719	False	0.48	False	0.38	varroa_destructor	RISKY	RISKY	0.38	varroa_destructor	MARGINAL	0.52	mus_musculus	NEITHER
B7SP44	dermacentor_variabilis			0.3552	False	0.3525	False	0.2765	False	0.2812	False	0.6211	False	0.5109	False	0.517	False	0.4823	False	0.5511	False	0.5556	False	0.5492	False	0.5417	False	0.5509	False	0.3789	tetranychus_urticae	RISKY	RISKY	0.3789	tetranychus_urticae	MARGINAL	0.4444	homo_sapiens	NEITHER
A0AAQ4FNT5	amblyomma_americanum	Lysosomal dipeptide transporter MFSD1		0.4861	False	0.4861	False	0.5565	False	0.5736	False	0.4695	False	0.5406	False	0.5222	False	0.5177	False	0.629	False	0.548	False	0.5374	False	0.597	False	0.5319	False	0.371	limulus_polyphemus	RISKY	RISKY	0.371	limulus_polyphemus	MARGINAL	0.403	felis_catus	NEITHER
Q5Q995	ixodes_scapularis	Protein KRTCAP2 homolog		0.5368	False	0.5038	False	0.4615	False	0.4546	False	0.0	True	0.5263	False	0.4741	False	0.4231	False	0.637	False	0.4851	False	0.4925	False	0.4925	False	0.4925	False	0.363	limulus_polyphemus	RISKY	RISKY	0.363	limulus_polyphemus	MARGINAL	0.5075	canis_lupus_familiaris	NEITHER
A0A0C9RXK7	amblyomma_americanum	Tetraspanin		0.4667	False	0.4667	False	0.4096	False	0.4083	False	0.3765	False	0.285	False	0.45	False	0.3147	False	0.6423	False	0.4809	False	0.4341	False	0.4396	False	0.5	False	0.3577	limulus_polyphemus	RISKY	RISKY	0.3577	limulus_polyphemus	MARGINAL	0.5	mus_musculus	NEITHER
A0AAQ4DQA6	amblyomma_americanum	Integrin beta		0.5728	False	0.5663	False	0.5755	False	0.518	False	0.5677	False	0.5668	False	0.5172	False	0.5419	False	0.6441	False	0.445	False	0.4448	False	0.4441	False	0.4432	False	0.3559	limulus_polyphemus	RISKY	RISKY	0.3559	limulus_polyphemus	MARGINAL	0.555	homo_sapiens	NEITHER
B7Q290	ixodes_scapularis	B7Q290		0.0	True	0.0	True	0.0	True	0.0	True	0.338	False	0.3913	False	0.5319	False	0.6522	False	0.433	False	0.0	True	0.0	True	0.0	True	0.0	True	0.3478	drosophila_melanogaster	RISKY	RISKY	0.3478	drosophila_melanogaster	SELECTIVE	1.0	homo_sapiens	RESIDENTIAL_ONLY
B7P2S1	ixodes_scapularis			0.4412	False	0.3767	False	0.6535	False	0.3981	False	0.2701	False	0.3533	False	0.2845	False	0.4301	False	0.4755	False	0.3897	False	0.3054	False	0.2885	False	0.3897	False	0.3465	varroa_destructor	RISKY	RISKY	0.3465	varroa_destructor	SELECTIVE	0.6103	homo_sapiens	RESIDENTIAL_ONLY
Q8I862	dermacentor_variabilis			0.5231	False	0.5196	False	0.6569	False	0.6504	False	0.5782	False	0.493	False	0.5	False	0.4565	False	0.5594	False	0.3582	False	0.3487	False	0.3698	False	0.3695	False	0.3431	varroa_destructor	RISKY	RISKY	0.3431	varroa_destructor	SELECTIVE	0.6302	felis_catus	RESIDENTIAL_ONLY
Q8T9S3	dermacentor_variabilis	Translationally-controlled tumor protein homolog		0.4971	False	0.5	False	0.5314	False	0.5723	False	0.6686	False	0.48	False	0.4633	False	0.5029	False	0.6264	False	0.4148	False	0.4148	False	0.4148	False	0.4148	False	0.3314	tetranychus_urticae	RISKY	RISKY	0.3314	tetranychus_urticae	MARGINAL	0.5852	homo_sapiens	NEITHER
A0A4D5RMG2	ixodes_scapularis	Trifunctional enzyme subunit alpha, mitochondrial		0.5598	False	0.6019	False	0.6187	False	0.629	False	0.5989	False	0.6061	False	0.5842	False	0.5945	False	0.675	False	0.6058	False	0.6223	False	0.6063	False	0.619	False	0.325	limulus_polyphemus	RISKY	RISKY	0.325	limulus_polyphemus	RISKY	0.3777	canis_lupus_familiaris	NEITHER
B7PY20	ixodes_scapularis			0.6562	False	0.6562	False	0.4596	False	0.4702	False	0.3769	False	0.6816	False	0.4839	False	0.4703	False	0.6642	False	0.3387	False	0.2964	False	0.2964	False	0.3515	False	0.3184	daphnia_magna	RISKY	RISKY	0.3184	daphnia_magna	SELECTIVE	0.6485	mus_musculus	RESIDENTIAL_ONLY
B7PJS6	ixodes_scapularis	B7PJS6		0.5248	False	0.5252	False	0.6704	False	0.6677	False	0.5125	False	0.5596	False	0.566	False	0.5094	False	0.6829	False	0.5703	False	0.5649	False	0.5726	False	0.5609	False	0.3171	limulus_polyphemus	RISKY	RISKY	0.3171	limulus_polyphemus	MARGINAL	0.4274	felis_catus	NEITHER
B7PRF6	ixodes_scapularis	B7PRF6		0.5683	False	0.541	False	0.5401	False	0.5628	False	0.6703	False	0.6854	False	0.5667	False	0.5829	False	0.6429	False	0.648	False	0.6456	False	0.6425	False	0.678	False	0.3146	daphnia_magna	RISKY	RISKY	0.3146	daphnia_magna	RISKY	0.322	mus_musculus	NEITHER
B7QBP7	ixodes_scapularis	Proton-coupled zinc antiporter SLC30A9, mitochondrial		0.6077	False	0.6009	False	0.6802	False	0.6816	False	0.6194	False	0.6211	False	0.0	True	0.5636	False	0.6865	False	0.5826	False	0.5804	False	0.5783	False	0.5891	False	0.3135	limulus_polyphemus	RISKY	RISKY	0.3135	limulus_polyphemus	MARGINAL	0.4109	mus_musculus	NEITHER
A0AAQ4E2K9	amblyomma_americanum	Guanylate cyclase		0.4523	False	0.4439	False	0.6866	False	0.6764	False	0.5169	False	0.5027	False	0.5	False	0.4088	False	0.613	False	0.4528	False	0.4355	False	0.4497	False	0.4353	False	0.3134	varroa_destructor	RISKY	RISKY	0.3134	varroa_destructor	MARGINAL	0.5472	homo_sapiens	NEITHER
A0A0C9R2P6	amblyomma_americanum	Phosphotransferase		0.565	False	0.5634	False	0.6877	False	0.4844	False	0.4859	False	0.6407	False	0.5758	False	0.5071	False	0.6723	False	0.4663	False	0.4936	False	0.4663	False	0.4719	False	0.3123	varroa_destructor	RISKY	RISKY	0.3123	varroa_destructor	MARGINAL	0.5064	canis_lupus_familiaris	NEITHER
B7SP39	dermacentor_variabilis			0.3632	False	0.3441	False	0.3196	False	0.427	False	0.6901	False	0.6056	False	0.6028	False	0.5488	False	0.6338	False	0.6262	False	0.6291	False	0.6103	False	0.6122	False	0.3099	tetranychus_urticae	RISKY	RISKY	0.3099	tetranychus_urticae	RISKY	0.3709	canis_lupus_familiaris	NEITHER
A0AAQ4DBK8	amblyomma_americanum	Trifunctional enzyme subunit alpha, mitochondrial		0.5862	False	0.6216	False	0.6471	False	0.6361	False	0.6107	False	0.6221	False	0.5865	False	0.6151	False	0.6934	False	0.6431	False	0.6346	False	0.6335	False	0.6335	False	0.3066	limulus_polyphemus	RISKY	RISKY	0.3066	limulus_polyphemus	RISKY	0.3569	homo_sapiens	NEITHER
A0AAQ4EAX4	amblyomma_americanum	Tyrosine-protein kinase receptor		0.5338	False	0.5573	False	0.577	False	0.5896	False	0.5916	False	0.5176	False	0.6974	False	0.4549	False	0.6507	False	0.5478	False	0.4721	False	0.464	False	0.5427	False	0.3026	folsomia_candida	RISKY	RISKY	0.3026	folsomia_candida	MARGINAL	0.4522	homo_sapiens	NEITHER
A7LJ78	dermacentor_variabilis			0.5994	False	0.5941	False	0.5841	False	0.6007	False	0.654	False	0.5922	False	0.609	False	0.7042	False	0.5982	False	0.5446	False	0.5327	False	0.5476	False	0.5647	False	0.2958	drosophila_melanogaster	RISKY	RISKY	0.2958	drosophila_melanogaster	MARGINAL	0.4353	mus_musculus	NEITHER
B7PX94	ixodes_scapularis			0.6757	False	0.7023	False	0.6107	False	0.6417	False	0.6698	False	0.6343	False	0.6731	False	0.6923	False	0.6195	False	0.7083	False	0.5876	False	0.5876	False	0.7083	False	0.2917	homo_sapiens	RISKY	RISKY	0.2977	bombus_terrestris	RISKY	0.2917	homo_sapiens	NEITHER
