accession	species	name	gene	status	template_pdb	template_chain	template_pident	template_cov	ligand_id	ligand_name	ligand_accept_reason	n_contact_residues_total	n_chains_contributing	inter_subunit	fraction_unmappable	n_pocket_residues	apis_mellifera_identity	apis_mellifera_ortholog_absent	bombus_terrestris_identity	bombus_terrestris_ortholog_absent	varroa_destructor_identity	varroa_destructor_ortholog_absent	metaseiulus_occidentalis_identity	metaseiulus_occidentalis_ortholog_absent	tetranychus_urticae_identity	tetranychus_urticae_ortholog_absent	daphnia_magna_identity	daphnia_magna_ortholog_absent	folsomia_candida_identity	folsomia_candida_ortholog_absent	drosophila_melanogaster_identity	drosophila_melanogaster_ortholog_absent	limulus_polyphemus_identity	limulus_polyphemus_ortholog_absent	homo_sapiens_identity	homo_sapiens_ortholog_absent	canis_lupus_familiaris_identity	canis_lupus_familiaris_ortholog_absent	felis_catus_identity	felis_catus_ortholog_absent	mus_musculus_identity	mus_musculus_ortholog_absent	min_divergence	min_divergence_species	verdict	arthropod_verdict	mammal_verdict	scope
A0AAQ4DMB8	amblyomma_americanum	Ketimine reductase mu-crystallin		ok	2i99	2i99_B	47.557	98.08306709265176	NDP	NADPH DIHYDRO-NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE	cofactor -- marks a real functional site	26	1	False	0.0	26	0.0	True	0.0	True	0.0	True	0.0	True	0.0	True	0.8462	False	0.0	True	0.6154	False	0.6923	False	0.5769	False	0.5385	False	0.5385	False	0.5769	False	0.1538	daphnia_magna	RISKY	RISKY	MARGINAL	NEITHER
B7SP57	dermacentor_variabilis			ok	9nxw	9nxw_B	39.252	96.3963963963964	GSH	Glutathione	cofactor -- marks a real functional site	13	1	False	0.0	13	0.6923	False	0.5385	False	0.6923	False	0.6923	False	0.6154	False	0.8462	False	0.5385	False	0.6154	False	0.7692	False	0.5385	False	0.5385	False	0.6154	False	0.5385	False	0.1538	daphnia_magna	RISKY	RISKY	RISKY	NEITHER
Q86G71	dermacentor_variabilis			ok	9nxw	9nxw_B	41.624	91.62790697674419	GSH	Glutathione	cofactor -- marks a real functional site	13	1	False	0.0	13	0.6923	False	0.5385	False	0.6923	False	0.6923	False	0.6154	False	0.8462	False	0.6154	False	0.6923	False	0.7692	False	0.5385	False	0.5385	False	0.6154	False	0.5385	False	0.1538	daphnia_magna	RISKY	RISKY	RISKY	NEITHER
Q8I862	dermacentor_variabilis			ok	6o1s	6o1s_E	34.701	71.65775401069519	7SD	N-[(6-amino-2,4-dimethylpyridin-3-yl)methyl]-1-({4-[(1H-pyra	drug-like organic ligand	20	1	False	0.0	20	0.7	False	0.7	False	0.85	False	0.85	False	0.85	False	0.7	False	0.7	False	0.65	False	0.8	False	0.4	False	0.4	False	0.45	False	0.45	False	0.15	metaseiulus_occidentalis	RISKY	RISKY	MARGINAL	NEITHER
Q6XR73	dermacentor_variabilis	Carboxylic ester hydrolase		ok	6ary	6ary_B	50.19	88.25503355704699	BT7	(1S)-2,2-difluoro-1-[1-(pentan-3-yl)-1H-pyrazol-4-yl]ethan-1-ol	drug-like organic ligand	15	1	False	0.0	15	0.8667	False	0.8667	False	0.8667	False	0.8	False	0.8667	False	0.5333	False	0.5333	False	0.8	False	0.8667	False	0.8	False	0.8	False	0.8	False	0.8	False	0.1333	varroa_destructor	RISKY	RISKY	RISKY	NEITHER
A7LJ78	dermacentor_variabilis			ok	8gx2	8gx2_B	54.464	100.90090090090091	KJ0	N-[(2S)-3-cyclohexyl-1-[[(2S,3S)-4-(cyclopropylamino)-3-oxid	drug-like organic ligand	28	2	True	0.2143	22	0.8182	False	0.8182	False	0.8182	False	0.8182	False	0.9091	False	0.8636	False	0.8636	False	0.9091	False	0.8182	False	0.8182	False	0.9091	False	0.9091	False	0.8636	False	0.0909	tetranychus_urticae	RISKY	RISKY	RISKY	NEITHER
B7P9U9	ixodes_scapularis	Ecdysone receptor		ok	1z5x	1z5x_E	61.165	71.36258660508084	P1A	2,3,14,20,22-PENTAHYDROXYCHOLEST-7-EN-6-ONE	drug-like organic ligand	25	1	False	0.0	25	0.84	False	0.68	False	0.92	False	0.88	False	0.8	False	0.8	False	0.8	False	0.8	False	0.92	False	0.24	False	0.24	False	0.24	False	0.24	False	0.08	varroa_destructor	RISKY	RISKY	SELECTIVE	RESIDENTIAL_ONLY
A0AAQ4E0I8	amblyomma_americanum	Histone deacetylase		ok	6odc	6odc_C	45.777	86.55660377358491	M7Y	(2E)-3-[2-(3-cyclopentyl-5,5-dimethyl-2-oxoimidazolidin-1-yl	drug-like organic ligand	14	1	False	0.0	14	0.8571	False	0.8571	False	0.8571	False	0.8571	False	0.8571	False	0.9286	False	0.9286	False	0.8571	False	0.9286	False	0.8571	False	0.8571	False	0.8571	False	0.8571	False	0.0714	daphnia_magna	RISKY	RISKY	RISKY	NEITHER
B7PBI5		B7PBI5		ok	6efx	6efx_A	38.226	107.92079207920793	ANP	PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	cofactor -- marks a real functional site	15	1	False	0.0	15	0.9333	False	0.9333	False	0.8667	False	0.8667	False	0.8667	False	0.8	False	0.8667	False	0.8667	False	0.8667	False	0.8667	False	0.8667	False	0.8	False	0.8667	False	0.0667	apis_mellifera	RISKY	RISKY	RISKY	NEITHER
A0AAQ4E147	amblyomma_americanum	SUMO-activating enzyme subunit		ok	9qn5	9qn5_D	54.88	100.64412238325282	ATP	ADENOSINE-5'-TRIPHOSPHATE	cofactor -- marks a real functional site	25	2	True	0.04	24	0.9583	False	0.9583	False	0.875	False	0.875	False	0.7917	False	0.9167	False	0.9583	False	0.9167	False	0.9167	False	0.9583	False	0.9583	False	0.9583	False	0.9583	False	0.0417	apis_mellifera	RISKY	RISKY	RISKY	NEITHER
B7PJS6		B7PJS6		ok	2ywh	2ywh_A	47.682	91.37670196671709	GDP	GUANOSINE-5'-DIPHOSPHATE	cofactor -- marks a real functional site	15	1	False	0.0	15	1.0	False	1.0	False	0.9333	False	0.9333	False	0.9333	False	0.9333	False	0.9333	False	0.9333	False	0.2667	False	1.0	False	1.0	False	1.0	False	1.0	False	0.0	bombus_terrestris	RISKY	RISKY	RISKY	NEITHER
A0AAQ4DAP1	amblyomma_americanum	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase		ok	5vcm	5vcm_B	40.483	89.23444976076556	UDP	URIDINE-5'-DIPHOSPHATE	drug-like organic ligand	14	2	True	0.9286	1	0.0	False	1.0	False	0.0	False	1.0	False	0.0	False	1.0	False	0.0	False	0.0	False	0.0	False	0.0	False	0.0	False	0.0	False	0.0	False	0.0	metaseiulus_occidentalis	RISKY	RISKY	SELECTIVE	RESIDENTIAL_ONLY
A0AAQ4DQA6	amblyomma_americanum	Integrin beta		ok	9der	9der_B	42.123	98.04878048780488	AGG	TIROFIBAN	drug-like organic ligand	20	2	True	0.5	6	1.0	False	1.0	False	1.0	False	1.0	False	1.0	False	1.0	False	1.0	False	1.0	False	0.0	False	0.8333	False	0.8333	False	0.8333	False	0.8333	False	0.0	varroa_destructor	RISKY	RISKY	RISKY	NEITHER
A0A0C9R2P6	amblyomma_americanum	Phosphotransferase		ok	1dgk	1dgk_N	46.91	99.44134078212291	ADP	ADENOSINE-5'-DIPHOSPHATE	cofactor -- marks a real functional site	15	1	False	0.0	5	1.0	False	1.0	False	0.8	False	0.6	False	1.0	False	1.0	False	1.0	False	0.6	False	0.8	False	0.6	False	0.6	False	0.6	False	0.6	False	0.0	tetranychus_urticae	RISKY	RISKY	RISKY	NEITHER
A0AAQ4DND5	amblyomma_americanum	Poly [ADP-ribose] polymerase		ok	9mja	9mja_A	48.192	104.81557377049181	UHB	2-[4-[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)o	drug-like organic ligand	19	2	True	0.0526	18	1.0	False	1.0	False	1.0	False	1.0	False	0.8889	False	0.0	False	1.0	False	1.0	False	1.0	False	1.0	False	1.0	False	1.0	False	1.0	False	0.0	metaseiulus_occidentalis	RISKY	RISKY	RISKY	NEITHER
A0AAQ4DPM5	amblyomma_americanum	Histone deacetylase 8		ok	3ezt	3ezt_B	50.549	98.20143884892086	B3N	4-(dimethylamino)-N-[7-(hydroxyamino)-7-oxoheptyl]benzamide	drug-like organic ligand	17	2	True	0.7059	4	0.75	False	0.75	False	0.75	False	0.75	False	0.75	False	1.0	False	0.75	False	0.75	False	0.75	False	0.75	False	0.75	False	0.75	False	0.75	False	0.0	daphnia_magna	RISKY	RISKY	RISKY	NEITHER
A0AAQ4E0T1	amblyomma_americanum	Phospholipid-transporting ATPase		ok	6k7m	6k7m_A	59.201	96.29120879120879	D39	(2~{S})-2-azanyl-3-[[(2~{R})-3-hexadecanoyloxy-2-[(~{Z})-oct	drug-like organic ligand	21	1	False	0.0	6	1.0	False	1.0	False	0.8333	False	0.8333	False	0.6667	False	1.0	False	0.6667	False	0.8333	False	1.0	False	1.0	False	1.0	False	1.0	False	1.0	False	0.0	bombus_terrestris	RISKY	RISKY	RISKY	NEITHER
A0AAQ4E2K9	amblyomma_americanum	Guanylate cyclase		ok	9bcv	9bcv_B	45.283	88.66171003717471	G2P	PHOSPHOMETHYLPHOSPHONIC ACID GUANYLATE ESTER	drug-like organic ligand	15	2	True	0.5333	7	1.0	False	1.0	False	1.0	False	1.0	False	1.0	False	1.0	False	0.7143	False	0.8571	False	1.0	False	1.0	False	1.0	False	1.0	False	1.0	False	0.0	apis_mellifera	RISKY	RISKY	RISKY	NEITHER
A0AAQ4DNH0	amblyomma_americanum	glutaminase		ok	8gwr	8gwr_A	52.69	81.91489361702128	HZO	2,2-dimethyl-1,3-dihydrobenzo[a]phenanthridin-4-one	drug-like organic ligand	6	2	True	0.5	3	0.3333	False	0.3333	False	0.6667	False	0.6667	False	0.6667	False	0.0	False	0.3333	False	0.3333	False	1.0	False	0.3333	False	0.0	False	0.3333	False	0.3333	False	0.0	limulus_polyphemus	RISKY	RISKY	SELECTIVE	RESIDENTIAL_ONLY
C6G1Y6	dermacentor_variabilis	Aminopeptidase N		ok	4fkk	4fkk_A	37.937	102.55972696245733	BES	2-(3-AMINO-2-HYDROXY-4-PHENYL-BUTYRYLAMINO)-4-METHYL-PENTANOIC ACID	drug-like organic ligand	15	1	False	0.0	10	0.8	False	1.0	False	0.9	False	0.9	False	1.0	False	0.8	False	0.8	False	0.9	False	0.9	False	0.8	False	0.9	False	1.0	False	1.0	False	0.0	bombus_terrestris	RISKY	RISKY	RISKY	NEITHER
Q2Q443	dermacentor_variabilis			ok	9f7k	9f7k_B	33.79	101.86046511627907	GSH	Glutathione	cofactor -- marks a real functional site	15	2	True	0.9333	1	0.0	False	0.0	False	0.0	False	0.0	False	0.0	False	0.0	False	0.0	False	0.0	False	0.0	False	1.0	False	1.0	False	1.0	False	0.0	False	0.0	homo_sapiens	RISKY	SELECTIVE	RISKY	AREAWIDE_ONLY
B7P2S1	ixodes_scapularis			no_template_found																																												
B7QBP7	ixodes_scapularis	Proton-coupled zinc antiporter SLC30A9, mitochondrial		no_template_found																																												
B7PY20	ixodes_scapularis			no_template_found																																												
B7QAF3	ixodes_scapularis			no_template_found																																												
B7P6A8	ixodes_scapularis			no_mappable_contacts	5dn6	5dn6_G	37.543	105.39568345323741	ATP	ADENOSINE-5'-TRIPHOSPHATE	cofactor -- marks a real functional site	23	2	True	1.0																																	
A0A4D5RGQ5	ixodes_scapularis	Metallophosphoesterase 1 homolog		no_pdb_homolog																																												
A0A4D5RMV5	ixodes_scapularis			no_pdb_homolog																																												
A0A4D5RNJ0	ixodes_scapularis	Oligomycin sensitivity conferral protein		no_mappable_contacts	9b3j	9b3j_O	55.0	94.7867298578199	ATP	ADENOSINE-5'-TRIPHOSPHATE	cofactor -- marks a real functional site	20	2	True	1.0																																	
B7P5E9	ixodes_scapularis			no_pdb_homolog																																												
B7Q255	ixodes_scapularis	Homeodomain transcription factor		no_pdb_homolog																																												
Q5Q995	ixodes_scapularis	Protein KRTCAP2 homolog		no_mappable_contacts	9ygy	9ygy_N	48.507	99.25925925925925	ELU	phosphono [(3~{R},6~{E},10~{E})-3,7,11,15-tetramethylhexadec	drug-like organic ligand	14	2	True	1.0																																	
B7PKZ2		B7PKZ2		no_template_found																																												
B7PY76		B7PY76		no_mappable_contacts	8fky	8fky_SP	47.143	98.82352941176471	GDP	GUANOSINE-5'-DIPHOSPHATE	cofactor -- marks a real functional site	19	1	False	1.0																																	
B7Q290		B7Q290		no_pdb_homolog																																												
F6KSY2		F6KSY2		no_pdb_homolog																																												
Q202J4		Q202J4	SPH	no_phase0_result	4rw3	4rw3_A	39.085	78.02197802197803	IPD	D-MYO-INOSITOL-1-PHOSPHATE	drug-like organic ligand	14	1	False	0.0	14																																
Q4PLZ3		Q4PLZ3	Tctp	no_template_found																																												
Q8MUP7		Q8MUP7	Salp9Pac	no_pdb_homolog																																												
B7QK46	ixodes_scapularis	Glutaminyl-peptide cyclotransferase	Qptc	no_phase0_result	4mhz	4mhz_A	100.0	92.35127478753542	PBD	1-(3,4-dimethoxyphenyl)-3-[3-(1H-imidazol-1-yl)propyl]thiourea	drug-like organic ligand	15	1	False	0.0	15																																
A0AAQ4D9T1	amblyomma_americanum	Hormone-sensitive lipase		no_template_found																																												
A0AAQ4DD00	amblyomma_americanum	E3 ubiquitin-protein ligase MARCHF6		no_template_found																																												
A0A0K0PRG2	amblyomma_americanum	NADH-ubiquinone oxidoreductase chain 5	ND5	no_mappable_contacts	8esz	8esz_5	43.04	99.81718464351006	NDP	NADPH DIHYDRO-NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE	cofactor -- marks a real functional site	28	2	True	1.0																																	
A0AAQ4FA75	amblyomma_americanum	Acylglycerol kinase, mitochondrial		no_mappable_contacts	7cgp	7cgp_B	33.41	98.86104783599089	PEE	1,2-dioleoyl-sn-glycero-3-phosphoethanolamine	drug-like organic ligand	7	1	False	1.0																																	
A0A0C9R308	amblyomma_americanum	CAAX prenyl protease		no_template_found																																												
A0A0C9SEC4	amblyomma_americanum	Serine/threonine-protein phosphatase PGAM5, mitochondrial		no_template_found																																												
A0AAQ4DBL8	amblyomma_americanum	RB1-inducible coiled-coil protein 1		no_template_found																																												
A0AAQ4DEL6	amblyomma_americanum	non-specific serine/threonine protein kinase		no_template_found																																												
A0AAQ4DX98	amblyomma_americanum	Peptidylglycine alpha-amidating monooxygenase		no_template_found																																												
A0AAQ4EAX4	amblyomma_americanum	Tyrosine-protein kinase receptor		no_template_found																																												
A0AAQ4DZT2	amblyomma_americanum	Diacylglycerol lipase-alpha		no_template_found																																												
A0AAQ4E7F9	amblyomma_americanum	Peptidase M20 dimerisation domain-containing protein		no_template_found																																												
A0A0C9RXK7	amblyomma_americanum	Tetraspanin		no_template_found																																												
A0A0C9SDB6	amblyomma_americanum			no_template_found																																												
A0AAQ4FNT5	amblyomma_americanum	Lysosomal dipeptide transporter MFSD1		no_template_found																																												
B2ZHX0	dermacentor_variabilis			no_template_found																																												
Q8T9S4	dermacentor_variabilis	Tetraspanin		no_template_found																																												
Q2HZ27	dermacentor_variabilis			no_pdb_homolog																																												
B7SP56	dermacentor_variabilis			no_template_found																																												
B7SP64	dermacentor_variabilis			no_template_found																																												
B7SP48	dermacentor_variabilis			no_template_found																																												
Q06EX9	dermacentor_variabilis			no_template_found																																												
Q8T9S3	dermacentor_variabilis	Translationally-controlled tumor protein homolog		no_template_found																																												
