ligand	target	gene	score	flag	sel_risk	hERG	AMES	Hepatotox	Lipinski	Veber	Egan	MW	logP	TPSA	human_identity	smiles
CHEMBL316212	Q06EX9		-11.2	CLEAN	False	Low risk	Low risk	Low risk	Pass	Pass	Pass	355.16	5.82	43.1	0.388	CC(C)(C)c1ccc(-c2nc3ccc(-c4ccccc4)cc3c(=O)o2)cc1
CHEMBL88494	B7SP39		-11.1	FLAG(Hepatotox)	True	Possible	Low risk	Flag	Pass	Pass	Pass	448.31	5.84	58.2	0.626	CC(C)(C)c1ccccc1NC(=O)[C@H]1CCC2C3CNC4=CC(=O)CC[C@]4(C)C3CC[C@@]21C
CHEMBL415967	Q86G65		-11.1	FLAG(hERG)	True	Flag	Low risk	Low risk	Pass	Pass	Pass	499.18	4.64	124.0	0.617	O=P(O)(O)C(Cc1ccc2ccccc2c1)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1
CHEMBL433412	Q8T9S4	Tetraspanin	-11.1	FLAG(Hepatotox)	False	Low risk	Low risk	Flag	Pass	Pass	Pass	334.08	2.71	65.1	0.343	O=C1C=CC2(Oc3cccc4cccc(c34)O2)C23OC12CCCC3=O
CHEMBL94167	A0A4D5RMG2	Trifunctional enzyme subunit alpha, mitochondrial	-11.0	FLAG(hERG,Hepatotox)	True	Flag	Low risk	Flag	Pass	Pass	Pass	472.21	3.73	73.5	0.606	O=C1NC=C(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)N1
CHEMBL89540	A0AAQ4CWX3	Dolichol-phosphate mannosyltransferase subunit 1	-11.0	FLAG(hERG)	True	Flag	Low risk	Low risk	Pass	Pass	Pass	565.19	4.7	123.3	0.767	COc1cc(C(=O)NS(=O)(=O)c2ccccc2)ccc1CN1CCOc2ccc(NC(=O)OC3CCCC3)cc21
CHEMBL93944	A0AAQ4DD00	E3 ubiquitin-protein ligase MARCHF6	-10.8	CLEAN	False	Low risk	Low risk	Low risk	Pass	Pass	Pass	461.26	5.87	67.8	0.591	COc1ccc2cc(C(C)C(=O)NCCC3(C)CCc4c(C)c(O)c(C)c(C)c4O3)ccc2c1
CHEMBL88494	A0AAQ4E147	SUMO-activating enzyme subunit	-10.8	FLAG(Hepatotox)	False	Possible	Low risk	Flag	Pass	Pass	Pass	448.31	5.84	58.2	0.549	CC(C)(C)c1ccccc1NC(=O)[C@H]1CCC2C3CNC4=CC(=O)CC[C@]4(C)C3CC[C@@]21C
CHEMBL91503	A0AAQ4E5F2	NAD(P)H oxidase (H2O2-forming)	-10.8	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	527.21	4.33	94.6	0.45	O=C(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CCc2ccccc2C(F)(F)F)CC1
CHEMBL8514	A0AAQ4DPM5	Histone deacetylase 8	-10.7	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	361.24	4.84	23.5	0.509	CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
CHEMBL316141	B7P2S1		-10.7	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	556.22	3.79	127.1	0.308	COc1ccc(-n2nnnc2C(F)(F)F)cc1[C@H]1COC2(CCCN(Cc3n[nH]c(O)n3)C2c2ccccc2)C1
CHEMBL10251	B7PJS6	B7PJS6	-10.7	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	499.18	4.64	124.0	0.5648599999999999	O=P(O)(O)C(Cc1cccc2ccccc12)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1
CHEMBL329389	Q86G71		-10.7	CLEAN	False	Low risk	Low risk	Low risk	Fail	Pass	Pass	575.05	5.47	99.5	0.333	N#Cc1c(NC(=O)c2cc(S(=O)(=O)N3CCOCC3)c(Cl)cc2Cl)sc2c1CCC(c1ccccc1)C2
CHEMBL91053	A0A023NLX9	ARPC2	-10.6	CLEAN	True	Low risk	Low risk	Low risk	Pass	Pass	Pass	574.18	3.78	122.2	0.789	COc1ccc(S(=O)(=O)N2Cc3ccccc3C[C@H]2C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)O)cc1OC
CHEMBL93944	A0AAQ4E0T1	Phospholipid-transporting ATPase	-10.6	CLEAN	False	Low risk	Low risk	Low risk	Pass	Pass	Pass	461.26	5.87	67.8	0.592	COc1ccc2cc(C(C)C(=O)NCCC3(C)CCc4c(C)c(O)c(C)c(C)c4O3)ccc2c1
CHEMBL93857	B7Q255	Homeodomain transcription factor	-10.6	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	421.23	4.7	64.7	0.518	C[C@H](Nc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n3n2CCC3)n1)C1CCCCC1
CHEMBL9719	B7QDG3	B7QDG3	-10.6	WARN(Brenk)	True	Low risk	Low risk	Low risk	Pass	Pass	Pass	436.18	3.11	96.4	0.60345	C(#Cc1ncnc2c1ncn2C1CCCCO1)c1ncnc2c1ncn2Cc1ccccc1
CHEMBL93007	B7Q1Q9	B7Q1Q9	-10.5	WARN(Brenk)	True	Low risk	Low risk	Low risk	Pass	Pass	Pass	282.07	3.9	34.1	0.7961199999999999	O=c1ccc2c3ccc(=O)c4cccc(c5cccc1c52)c43
